Date,Stars,Comment,Sentiment
29/10/2019,1,i had an accident with an uber driver in mexico city the car that i got into had no side mirror the brakes were not working properly either i almost got into an accident twice the drivers conversation was unpleasant being a foreigner he was very curious to ask where i am from and what brought me to mexico i replied to be a tourist and through that conversation is over he became very rude and asked me if i came to look for a mexican husband i never answered and kept quiet he took the wrong route and made several in requested stops having in mind it was uberx he continued asked me whom i sleep with he literally stopped the car and asked me to wait for him text someone i asked him to let me go and take a different driver but he locked the doors and didnt allow me ,worst
28/10/2019,1,i have had my account completely hacked to where i cannot sign in or view it someone spent over 1k in uber rides on my credit and debit cards linked to the account and when i dialed the only number available safety line i was told i would need to wait until another department emailed me i didnt hear anything for almost 24 hours and when i did it was a prompted message that did not help at all it has been almost 2 days and i still have no received a phone call or any helpful support via email this is a nightmare and the worst customer service i have ever experienced i am going to be filing a police report to the person who myself and the driver caught fraudulently using my account and looking into an attorney for uber not making identity theft a priority and rectifying the situation on their end,worst
27/10/2019,1,i requested an 8 mile ride in boston on a saturday night around 100 am that was coming up around 55 on the app and lyft was around the same rate ended up taking a regular cab that cost me 20 beware of high rates,worst
27/10/2019,1,ive been driving off and on with the company since 2016 since i have been driving in a new place i noticed uber is taking more than 50 of the fare a passenger paid 752 uber took 452 and just gave me 3 i have driven for 13 hours and not even paid 100 majority 999 of my fares never hit 7 where i was making over a 200 a day now its 60 70 maybe 90 and dont forget to tack on a full tank of gas which is over 30 for my car and the maintenance upkeep that i accrue more quickly because of rideshare i will never drive nor think about riding for or with them again,worst
25/10/2019,1,uber is overcharging for toll fees when in florida the tolls fees estimates between  75 to  200 uber price shown will be example  1673 for the ride after you take the ride you get charge 2823 and when you check the account its telling you that you got charge for tolls the driver never took the toll route and you try to contact uber company and they take long to get back to you about the issue of being overcharge i try to email them and let them know about the extra charges and why am i being charge for a service that i didnt receive,worst
24/10/2019,1,i had an airport flight today uber would not accept my credit card my venmo or my paypal as a last resort i brought an uber gift card to cover my ride to the airport ill be damned the uber app wouldnt even accept their own gift card my daughter downloaded three of her cards to her app to buy me a ride and sure enough they wouldnt accept her cards either as a last resort she brought me a ride from lift with no problem im sending uber back their gift card certified mail and demanding a refund after much stress i barely made my flight im also deleting ubers app and will never ever use them again laura,worst
24/10/2019,1,i worked for uber and lyft for 25 years and all they did was take take take from the drivers who ate mostly foreign laborers here illegally and are afraid to fight back against corporate crime wage theft like you wouldnt believe dont do any gig economy job the government needs labor regulations the state of california is setting the example by fighting them,worst
23/10/2019,1,in july of this year i had sushi delivered to me in mexico by ubereats a subsidiary of uber on five occasions the total cost was 1918 pesos  about 100 us however i was billed 1919 dollars on my credit card something i discovered at the end of the month when paying my credit cards i contacted uber customer support uber does not provide any number to call so all customer service work has to be through the via email messaging and i was told that due this was a glitch in the app and my charges would be refunded,worst
23/10/2019,1,my driver rohan was nice but when i tried to add tip i noticed that he had switched my 9 9am fare in french quarter to someone elses 2pm trip in metairie for 2800 uber refused to acknowledge 5 attempts to rectify problem and received nothing but irrelevant automated replies if you get in the car with rohan in nola and he says he cant get his system to work its a a scam terrible customer service from uber with zero relevant assistance after 7 days of requesting corrected bill beware,worst
21/10/2019,1,i had seven fraudulent uber transactions over three days in midoctober on my credit card for nearly a week i tried unsuccessfully to get uber customer service to help uber was totally uncooperative they refused to engage in the fraudulent charges someone in their system imposed on me i had to cancel my credit card get a new credit card and leave my credit card company to battle awful uber uber buyer beware i know i will never use their services again,worst
21/10/2019,1,our driver never showed up and uber cancelled our ride not us they charged us a cancellation fee for them cancelling when i disputed it they would only credit it on future ride instead of refund back to our credit card why am i only getting a credit on account instead of a full refund to my credit card used this is not right what you have done when it was a uber error,worst
20/10/2019,1,when the service worked it was good and tech support responds quickly most of the time unfortunately that doesnt make up for the problems i encountered the app rejected my credit card and offered no explanation as to why for some reason it accepted my paypal even though it uses the very card the app had just rejected it took days of back and forth with tech support to find out that my card isnt compatible with their system but they refused to be more specific than that and no matter how many times i asked what the exact problem was ie my bank the type of card etc all they did was rephrase the same answer over and over again with canned responses repeatedly telling me to check w my bank even after i told them i already had done so,worst
18/10/2019,1,being a responsible driver i made the decision to use uber after a few drinks at a local cantina my friends and i live within a couple miles of each other so we shared the uber i was the second person to be dropped off and my sole set of keys ie car house storage work fell out of my pocket i realized i had left them in the backseat almost immediately but had no way to contact the driver bc unfortunately my friend was the one who ordered the ride my friend contacted him the next day that was a feat within itself bc uber drivers are extremely protected but did not receive a response,worst
18/10/2019,1,they didnt have cars available at bush international airport on october 15 2019 at 930 pm had to take a taxi this is the second time i have experienced this and will be my last as i will use lyft or a taxi in the future,worst
17/10/2019,1,i have been punished for circumstances beyond my control i have asked repeatedly for someone to tell me what i have done wrong or could have done differently and no one will talk to me about it you see i am a driver for ubereats and i loved it until friday night when i had several orders not completed due to circumstances outside of my control 2 orders could not be delivered because the restaurant wasnt serving the items at that time ,worst
17/10/2019,1,dont use it thats my recommendation i ordered uber selected the car to come and pick me up  got the confirmation that musa driver is coming in 14 min price selected was 1114eur guess what 15 min later got another message that another driver is coming in 25 min he came after 27 min and charged me 175eur 350eur extra for the time so he came late and im charged extra for this time i need to mention as well that i was going to hospital to change my cast as i have a broken leg and im in crutches moreover was poring rain outside when i got teh invoice after iev been charges i sent an email over and over again  nobody have any reply i called them few times and left voice messages as nobody ever picks up the phone no call bank nor reply until now over 3 weeks has passed already dont use it you have nobody to complain to in case the driver is rude or even offensive and they just charge you whatever they wish always extra never less,worst
14/10/2019,1,upfront pricing not true pricing uber pads the bill so much ive had uber drivers charge for wait time when they are parked down from my house and i am out on my front porch waiting and watching them booking fee 305 come on toll and surcharges plus time and distance charges now they are dropping me off a few blocks from my destination saying they got to take another call uber drivers that i have used have showed up at my house wanting a hookup one driver started groping me on my front porch uber customer service is a brick wall credited me 300 on a ride on uber cash no matter what they do or charge they have an excuse and they are right when i reported the sexual harassment of the two drivers they suspended my account they cost more than a taxi and a taxi never has told me to get out and walk the rest of the way ,worst
14/10/2019,1,i dont believe there is any way to contact uber anymore_x000d_even their emergency number is a recording telling you to dial 911 or review the help section in their api put a very wonderful women in an uber last night to drive her from orange county to la the driver despite her wedding ring put he moves on her the entire trip_x000d_he kept harassing her for her phone number but he didnt stop with just that he kept touching her rubbing his hand on her leg she clung to her backpack praying she would get home safeshe is happily married with a child she does not invite advancements from men in any way she is a pediatrician visiting la to study advancements in child heart surgery so she can return to her county to help save childrenshe was able to send a message through the uber ap about the incident she got an auto response stating that the incident will be looked intoi have searched for any way i could contact uber i have an account ive tried everything there is no way i can contact uber_x000d_so yisak  honda civic 8apd979 is still picking up rides i hope the worst he does is groping uber does not take safety seriously and i just pray no one gets hurt from this predatory driver,worst
13/10/2019,1,drive with uber you need to get better i currently drive for uber but am concerned with some drivers taking advantage of people with disabilities i had picked up a uber customer who had a 3 star rating which to me i thought there was something wrong but still decided to accept the ride when i picked up the gentleman i realized he was blind as he got in my car we had a conversation and he told me that i was the quickest pick up he has ever gotten and asked me why he told me he usually has to keep requesting ubers over and over i know why its because the drivers are declining a 3 star rider i told him it was because i dont pass up any opportunities to pick people up to get them to their destination he was the most kindest man i have ever met and i realized that other drivers have given him low ratings just because he had a disability,worst
12/10/2019,1,uber quoted me a fare of 14 their driver turned up late took a very long route got lost and then charged me nearly 35 i complained and they reduced it to 26 they will not refund the money to the 14 they quoted methis is theftdo not use uber they are thieves and dishonest,worst
11/10/2019,1,driver was fine and so was ride experience of dealing with getting a coupon for first ride had me looking for a human being to talk to and was amazed to find there was no one i think they charge enough to hire customer service of some kind i couldnt even find a human online,worst
10/10/2019,1,i called uber for going home two days ago and yesterday they charged me extra 40 even no one told me reason then i contacted uber and they told me driver complained me about i was drunk or something else they sent me stupid pictures i didnt understand exactly what happened but i just called uber and went home even i didnt talk to driver and went home how come no one asked me anything and they just charged me 40 directly i will take my money back and i will delete uber,worst
